Absidia	Fungi,Mucoromycota
Acanthamoeba	Amoebozoa,Discosea
Acanthoeca	Opisthokonta,Choanoflagellida
Acetoanaerobium	Terrabacteria,Firmicutes
Acetobacteraceae	Alphaproteobacteria
Acetobacterium	Terrabacteria,Firmicutes
Acetohalobium	Terrabacteria,Firmicutes
Acetothermia	unclassified
Acidianus	Archaea,Crenarchaeota
Acidiferrobacter	Gammaproteobacteria
Acidihalobacter	Gammaproteobacteria
Acidimicrobiaceae	Terrabacteria,Actinobacteria
Acidimicrobiia	Terrabacteria,Actinobacteria
Acidimicrobium	Terrabacteria,Actinobacteria
Acidithiobacillales	Acidithiobacillia
Acidithiobacillus	Acidithiobacillia
Acidithrix	Terrabacteria,Actinobacteria
Acidobacteria	Acidobacteria
Aciduliprofundum	Archaea,Euryarchaeota
Actinobacillus	Gammaproteobacteria
Actinobacteria	Terrabacteria,Actinobacteria
actinobacterium	Terrabacteria,Actinobacteria
Actinomadura	Terrabacteria,Actinobacteria
Actinoplanes	Terrabacteria,Actinobacteria
Actinotignum	Terrabacteria,Actinobacteria
Acytostelium	Amoebozoa,Evosea
Aduncisulcus	Excavata,Fornicata,Carpediemonas-like
Aenigmarchaeota	Archaea,Aenigmarchaeota
Aerococcaceae	Terrabacteria,Firmicutes
Aerococcus	Terrabacteria,Firmicutes
Aerophobetes	unclassified
Aestuariispira	Alphaproteobacteria
Acholeplasma	Terrabacteria,Tenericutes
Achromatium	Gammaproteobacteria
Akkermansia	PVC group,Verrucomicrobia
Albugo	Stramenopiles,Oomycetes
Alexandrium	Dinophyceae,Gonyaulacales
Alkalispirochaeta	Spirochaetes
Allomyces	Fungi,Blastocladiomycota
Alphaproteobacteria	Alphaproteobacteria
Alternaria	Fungi,Ascomycota
Altiarchaeales	Archaea
Alveolata	Dinophyceae,Peridiniales
Amborella	Viridiplantae,Streptophyta
Ammonia	Rhizaria,Foraminifera
Amorphochlora	Rhizaria,Cercozoa,Chlorarachniophyceae
Amorphochlora	Rhizaria,Chlorarachniophyceae
Amphidinium	Dinophyceae,Gymnodiniales
Anabaena	Terrabacteria,Cyanobacteria
Anaeromusa	Terrabacteria,Firmicutes
Anaeromyxobacter	Deltaproteobacteria
Anaeroplasma	Terrabacteria,Tenericutes
Aneurinibacillus	Terrabacteria,Firmicutes
Angomonas	Euglenozoa,Kinetoplastida
Anolis	Metazoa,Bilateria
Anoxybacillus	Terrabacteria,Firmicutes
Anoxybacter	Terrabacteria,Firmicutes
Aotus	plant/metazoa
Aphanomyces	Stramenopiles,Oomycetes
Apis	Metazoa,Bilateria
Aplanochytrium	Stramenopiles,Labyrinthulomycetes
Aplysia	Metazoa,Bilateria
Aquicella	Gammaproteobacteria
Aquitalea	Betaproteobacteria
Arabidopsis	Viridiplantae,Streptophyta
Arenimonas	Gammaproteobacteria
Arhodomonas	Gammaproteobacteria
Archaeoglobus	Archaea,Euryarchaeota
archaeon	Archaea
Armatimonadetes	Terrabacteria,Armatimonadetes
Arthroderma	Fungi,Ascomycota
Ascoidea	Fungi,Ascomycota
Aspergillus	Fungi,Ascomycota
Astrosyne	Stramenopiles,Bacillariophyta
Aurantiochytrium	Stramenopiles,Labyrinthulomycetes
Aureococcus	Stramenopiles,Pelagophyceae
Aureoumbra	Stramenopiles,Pelagophyceae
Auxenochlorella	Viridiplantae,Chlorophyta
Azoarcus	Betaproteobacteria
Azospirillum	Alphaproteobacteria
Babesia	Apicomplexa,Piroplasmida
Bacillus	Terrabacteria,Firmicutes
Bacteriovorax	Proteobacteria,Oligoflexia
bacterium	Bacteria
Bacteroides	FCB group,Bacteroidetes
Bacteroidetes	FCB group,Bacteroidetes
Bathyarchaeota	Archaea,Bathyarchaeota
Bathycoccus	Viridiplantae,Chlorophyta,prasinophytes
Batrachochytrium	Fungi,Chytridiomycota
Bdellovibrio	Proteobacteria,Oligoflexia
Beggiatoa	Gammaproteobacteria
Beijerinckia	Alphaproteobacteria
Bemisia	Metazoa,Bilateria
Berkelbacteria	unclassified
Beta	Viridiplantae,Streptophyta
Betaproteobacteria	Betaproteobacteria
Bicosoecida	Stramenopiles,Bicosoecida
Bifiguratus	Fungi,Mucoromycota
Bigelowiella	Rhizaria,Cercozoa,Chlorarachniophyceae
Bilophila	Deltaproteobacteria
Bipolaris	Fungi,Ascomycota
Blastobotrys	Fungi,Ascomycota
Blastococcus	Terrabacteria,Actinobacteria
Blastocystis	Stramenopiles
Blastomonas	Alphaproteobacteria
Blastopirellula	Planctomycetes
Blattamonas	Excavata,Preaxostyla
Bodo	Euglenozoa,Kinetoplastida
Bolidomonas	Stramenopiles,Bolidophyceae
Bombyx	Metazoa,Bilateria
Bosea	Alphaproteobacteria
Botryobasidium	Fungi,Basidiomycota
Botrytis	Fungi,Ascomycota
Brassica	Viridiplantae,Streptophyta
Brevundimonas	Alphaproteobacteria
Burkholderia	Betaproteobacteria
Burkholderiales	Betaproteobacteria
Caballeronia	Betaproteobacteria
Caenispirillum	Alphaproteobacteria
Caenorhabditis	Metazoa,Bilateria
Cafeteria	Stramenopiles,Bicosoecida
Calcidiscus	Haptophyceae,Coccolithales
Caldanaerobius	Terrabacteria,Firmicutes
Caldivirga	Archaea,Crenarchaeota
Camellia	Viridiplantae,Streptophyta
Camelus	Metazoa,Bilateria
Candidatus	unclassified
Candida	Fungi,Ascomycota
Capronia	Fungi,Ascomycota
Capsaspora	Opisthokonta,Ichthyosporea
Capsicum	Viridiplantae,Streptophyta
Carnobacteriaceae	Terrabacteria,Firmicutes
Carpediemonas	Excavata,Fornicata,Carpediemonas-like
Catenaria	Fungi,Blastocladiomycota
Caulobacter	Alphaproteobacteria
Cavenderia	Amoebozoa,Evosea
Cenarchaeum	Archaea,Thaumarchaeota
Ceratium	Dinophyceae,Gonyaulacales
Ciona	Metazoa,Bilateria
Climacostomum	Ciliophora,Heterotrichea
Cloacimonas	FCB group
Clostridiales	Terrabacteria,Firmicutes
Clostridium	Terrabacteria,Firmicutes
Coccidioides	Fungi,Ascomycota
Coccolithus	Haptophyceae,Coccolithales
Coccomyxa	Viridiplantae,Chlorophyta
Colletotrichum	Fungi,Ascomycota
Comamonas	Betaproteobacteria
Compsopogon	Rhodophyta,Compsopogonophyceae
Conexibacter	Terrabacteria,Actinobacteria
Coprinopsis	Fungi,Basidiomycota
Coprobacillus	Terrabacteria,Firmicutes
