sp_P09317/Ustilago_maydis_strain_521 sp_P09317
sp_P17729/Trichoderma_koningii sp_P17729
sp_P19089/Cryphonectria_parasitica sp_P19089
sp_P32637/Podospora_anserina sp_P32637
sp_P54117/Colletotrichum_lindemuthianum sp_P54117
sp_Q8X1X3/Paracoccidioides_lutzii_strain_ATCC_MYA-826 sp_Q8X1X3
sp_Q9P8C0/Phaeosphaeria_nodorum_strain_SN15 sp_Q9P8C0
sp_Q9UR38/Lentinula_edodes sp_Q9UR38
sp_Q96UF2/Mucor_circinelloides_f._lusitanicus sp_Q96UF2
sp_Q96US8/Sclerotinia_sclerotiorum sp_Q96US8
sp_Q00584/Claviceps_purpurea_strain_20.1 sp_Q00584
sp_Q00640/Blumeria_graminis_f._sp._hordei sp_Q00640
sp_Q12552/Aspergillus_niger sp_Q12552
