aaeo	Aquifex aeolicus
actiCORYd	Corynebacter diphteriae
actiMYCOt	Mycobacterium tuberculosis
actiSTREc	Streptomyces coelicolor
aful	Archaeoglobus fulgidus
afum	Aspergillus fumigatus
alfaAZOSs	Azospirillum sp.
alfaMAGNm	Magnetospirillum magneticum
alfaNITRh	Nitrobacter hamburgensis
alfaRHODs	Rhodobacter sphaeroides
alfaRICKc	Rickettsia conori
amoACANc	Acanthamoeba castellanii
amoDICTd	Dictyostelium discoideum
amoENTAh	Entamoeba histolytica
amoPAULc	Paulinella chromatophora
aniDROSm	Drosophila melanogaster
aniMONOb	Monosiga brevicollis
aory	Aspergillus oryzae
apiCRYPm	Cryptosporidium muris
apiEIMEt	Eimeria tenella
apiGREGn	Gregarina niphandrodes
apiCHROv	Chromera velia
apiNEOSc	Neospora caninum
apiTHEIe	Theileria equi
apiTOXOg	Toxoplasma gondii
apiVITbr	Vitrella brassicaformis
apiVOROp	Voromonas pontica
archPICRt	Picrophilus torridus
archPYROa	Pyrobaculum aerophilum
archSULFt	Sulfolobus tokodaii
archTHERv	Thermoplasma volcanium
atha	Arabidopsis thaliana
atum	Agrobacterium tumefaciens
bant	Bacillus anthracis
bcidBACTf	Bacteroides fragilis
bcidFLAVc	Flavobacterium columnare
bcidPORPg	Porphyromonas gingivalis
bcidPREVr	Prevotella ruminicola
betaBURKc	Burkholderia cenocepacia
betaCUPRn	Cupriavidus necator
betaRALSs	Ralstonia solanacearum
betaVERMe	Verminephrobacter eiseniae
bmaa	Brugia malayi
bmal	Burkholderia mallei
bsui	Brucella suis
calb	Candida albicans
cbot	Clostridium botulinum
cbur	Coxiella burnetii
cele	Caenorhabditis elegans
cilCONDm	Condylostoma magnum
cilEUPfo	Euplotes focardii
cilFABRs	Fabrea salina
cilFAVta	Favella taraikaensis
cilLITOp	Litonotus pictus
cilPARAt	Paramecium tetraurelia
cilPLATm	Platyophrya macrostoma
cilTETRt	Tetrahymena thermophila
cilTIARf	Tiarina fusus
cimm	Coccidioides immitis
