actiCORYd	Corynebacter diphteriae
actiMYCOt	Mycobacterium tuberculosis
actiSTREc	Streptomyces coelicolor
alfaAZOSs	Azospirillum sp. B506
alfaMAGNm	Magnetospirillum magneticum
alfaNITRh	Nitrobacter hamburgensis
alfaRHODs	Rhodobacter sphaeroides
alfaRICKc	Rickettsia conori
amoACANc	Acanthamoeba castellanii str neff
amoCAVEf	Cavenderia fasciculata
amoDICTd	Dictyostelium discoideum
amoDICTp	Dictyostelium purpureum
amoENTAh	Entamoeba histolytica
amoFILAn	Filamoeba nolandi
amoPLANf	Planoprotostelium fungivorum
amoPOLYp	Polysphondylium pallidum pn500
amoSEXAN	Sexangularia sp. CB-2014
amoSTYGA	Stygamoeba regulata
amoTIEGl	Tieghemostelium lacteum
amoVANEL	Vannella
apiBABEb	Babesia bovis
apiCHROv	Chromera velia
apiCRYPm	Cryptosporidium muris
apiEIMEt	Eimeria tenella
apiGREGn	Gregarina niphandrodes
apiNEOSc	Neospora caninum
apiPLASb	Plasmodium berghei
apiPLASg	Plasmodium gallinaceum
apiTHEIe	Theileria equi
apiTOXOg	Toxoplasma gondii
apiVITbr	Vitrella brassicaformis
apiVORp	Voromonas pontica
apuTHECt	Thecamonas trahens
archPICRt	Picrophilus torridus
archPYROa	Pyrobaculum aerophilum
archSULFt	Sulfolobus tokodaii
archTHERv	Thermoplasma volcanium
bcidBACTf	Bacteroides fragilis
bcidFLAVc	Flavobacterium columnare
bcidPORPg	Porphyromonas gingivalis
bcidPREVr	Prevotella ruminicola
betaBURKc	Burkholderia cenocepacia
betaCUPRn	Cupriavidus necator
betaRALSs	Ralstonia solanacearum
betaVERMe	Verminephrobacter eiseniae
chlaAMORC	Amorphochlora amoebiformis
chlaBIGna	Bigelowiella natans
chlaCHLOR	Chlorarachnion reptans
chlaLOTam	Lotharella amoebiformis
chlaLOTgl	Lotharella globosa
chlaLOTgZ	Lotharella globosa
chlaLOTHs	Lotharella sp. CCMP622
chlaLOToc	Lotharella oceanica
chlaPARTg	Partenskyella glossopodia
chryCHATs	Chattonella subsalsa CCMP2191
chryDINOB	Dinobryon sp UTEXLB2267
chryHETak	Heterosigma akashiwo CCMP3107
chryOCHRO	Ochromonas sp. CCMP1393
chryVAUCH	Vaucheria litorea CCMP2940
cilCLIMv	Climacostomum virens
cilICHTm	Ichthyophthirius multifiliis
cilMESOD	Mesodinium pulex
cilLITOp	Litonotus pictus
cilOXYTt	Oxytricha trifallax
cilPARAt	Paramecium tetraurelia
cilPLATm	Platyophrya macrostoma
cilPROTa	Protocruzia adherens
cilPSEUp	Pseudocohnilembus persalinus
cilSTENc	Stentor coeruleus
cilTETRt	Tetrahymena thermophila
crypCHROO	Chroomonas cf. mesostigmatica
