EOG0937004M	Pre-mRNA-processing-splicing factor 8
EOG09370082	DNA-directed DNA polymerase, family B
EOG093700N7	WD40 repeat
EOG0937017X	Structural maintenance of chromosomes protein
EOG0937018Z	CRM1 C-terminal domain
EOG0937019B	Splicing factor 3B subunit 1
EOG093701EE	P-type ATPase
EOG093701IQ	SNF2-related, N-terminal domain
EOG093701S0	P-loop containing nucleoside triphosphate hydrolase
EOG093701SQ	Isoleucine-tRNA ligase
EOG093701V7	GNAT domain
EOG0937029K	Vps54-like
EOG093702AT	SANT/Myb domain
EOG093702DP	DNA repair protein, Rev1
EOG093702MJ	MIF4G-like, type 1
EOG093702PE	Nrap protein
EOG0937033T	adaptor-related protein complex 3, delta 1 subunit 
EOG0937036L	Eukaryotic translation initiation factor 3 subunit A
EOG093703C8	Helicase, C-terminal
EOG093703DY	Conserved oligomeric Golgi complex, subunit 3
EOG093703N5	Digestive organ expansion factor, predicted
EOG093703UX	NAD(+) synthetase
EOG093703W1	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa 
EOG093703WD	Vacuolar protein sorting-associated protein 35
EOG093703YA	ATPase, AAA-type, core
EOG0937049Y	Nucleoporin interacting component Nup93/Nic96
EOG093704GD	Conserved oligomeric Golgi complex subunit 6
EOG093704HC	Translation initiation factor 2, gamma subunit, C-terminal
EOG093704J7	DNA helicase
EOG093704Q0	Ribosomal protein S5 domain 2-type fold
EOG093704UY	WD40 repeat
EOG0937050C	CAS/CSE, C-terminal
EOG093705DM	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal
EOG093705E5	Similarity:Belongs to the peptidase M3 family.
EOG093705EY	B3/B4 tRNA-binding domain
EOG093705KN	WD40 repeat
EOG093705U4	NUDIX hydrolase domain
EOG093705VV	electron-transferring-flavoprotein dehydrogenase 
EOG093705YA	Aminoacyl-tRNA synthetase, class II
EOG093705YE	MIF4G-like domain
EOG093705Z6	Radical SAM
EOG0937060I	Similarity:Contains helicase ATP-binding domain.
EOG0937066G	Aminoacyl-tRNA synthetase, class II
EOG0937068H	Transmembrane:Helical
EOG093706PM	Active Site:Proton donor
EOG093706RN	Conserved oligomeric Golgi complex, subunit 4
EOG093706X0	Nucleolar complex protein 2
EOG09370762	T-complex protein 1 subunit alpha
EOG093707B7	Signal recognition particle subunit SRP68
EOG093707HK	Sda1
EOG093707LO	Transmembrane:Helical
EOG093707RF	Catalytic Activity:ATP + H(2)O = ADP + phosphate.
EOG093707VN	Ribosome biogenesis protein BMS1/TSR1, C-terminal
EOG093707VQ	Heat shock protein 70 family
EOG0937084T	CDC45 family
EOG0937085E	NMD3
EOG093708IM	Pescadillo
EOG093708OP	NADH-ubiquinone oxidoreductase 51 kDa subunit, iron-sulphur binding domain
EOG093708TP	GMP synthase
EOG0937091Y	DNA ligase, ATP-dependent
EOG0937092T	MIF4G-like domain
EOG0937092W	Vps53-like, N-terminal
EOG093709BZ	Methionyl-tRNA synthetase
EOG093709HP	Zinc finger, RING/FYVE/PHD-type
EOG093709JG	transcription factor 25 (basic helix-loop-helix) 
EOG09370A22	Transmembrane:Helical
EOG09370ADO	Tubulin
EOG09370AI8	Transmembrane:Helical
EOG09370AJP	Dihydrolipoyl dehydrogenase
EOG09370AL3	Transmembrane:Helical
EOG09370ARO	eukaryotic translation initiation factor 3, subunit L 
EOG09370AS9	tRNA guanosine-2'-O-methyltransferase, TRM11
EOG09370AV1	WD40 repeat
EOG09370AWB	Eukaryotic translation initiation factor 3 subunit E
EOG09370B1L	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III
EOG09370B65	Similarity:Contains CTLH domain.
EOG09370B7D	Transmembrane:Helical
EOG09370BBR	PUA domain
